sentences,labels
"Good case, Excellent value.","[1, 0]"
Great for the jawbone.,"[1, 0]"
The mic is great.,"[1, 0]"
And the sound quality is great.,"[1, 0]"
Very good quality though,"[1, 0]"
So Far So Good!.,"[1, 0]"
Works great!.,"[1, 0]"
The commercials are the most misleading.,"[0, 1]"
Great Pocket PC / phone combination.,"[1, 0]"
Doesn't hold charge.,"[0, 1]"
It has kept up very well.,"[1, 0]"
Poor Talk Time Performance.,"[0, 1]"
worthless product.,"[0, 1]"
Nice headset priced right.,"[1, 0]"
I only hear garbage for audio.,"[0, 1]"
Excellent bluetooth headset.,"[1, 0]"
This case seems well made.,"[1, 0]"
Disappointed with battery.,"[0, 1]"
I love this thing!,"[1, 0]"
VERY DISAPPOINTED.,"[0, 1]"
Great for iPODs too.,"[1, 0]"
Mic Doesn't work.,"[0, 1]"
Great choice!,"[1, 0]"
This is a beautiful phone.,"[1, 0]"
Love this product.,"[1, 0]"
This is a great little item.,"[1, 0]"
Not a good bargain.,"[0, 1]"
The battery runs down quickly.,"[0, 1]"
This phone works great.,"[1, 0]"
The phone loads super!,"[1, 0]"
Made very sturdy.,"[1, 0]"
Worked great!.,"[1, 0]"
Dont waste your money...,"[0, 1]"
Will order from them again!,"[1, 0]"
I'm very disappointed with my decision.,"[0, 1]"
Definitely a bargain.,"[1, 0]"
"Great product, fast shipping!.","[1, 0]"
Absolutely great.,"[1, 0]"
)Setup couldn't have been simpler.,"[1, 0]"
Could not get strong enough signal.,"[0, 1]"
Iam very pleased with my purchase.,"[1, 0]"
Bad Quality.,"[0, 1]"
Gets the job done.,"[1, 0]"
Great audio!.,"[1, 0]"
Basically the service was very bad.,"[0, 1]"
The accompanied software is almost brilliant.,"[1, 0]"
!I definitly recommend!!,"[1, 0]"
Buyer--Be Very Careful!!!!!.,"[0, 1]"
Very good stuff for the price.,"[1, 0]"
My headset works just peachy-keen.,"[1, 0]"
Voice recognition is tremendous!,"[1, 0]"
What a waste.,"[0, 1]"
very disappointed.,"[0, 1]"
What a waste of time!,"[0, 1]"
Its reception is very very poor.,"[0, 1]"
I Was Hoping for More.,"[0, 1]"
"Audio Quality is poor, very poor.","[0, 1]"
And I just love the colors!,"[1, 0]"
W810i is just SUPERB.,"[1, 0]"
Great charger.,"[1, 0]"
Great Value.,"[1, 0]"
doesn't last long.,"[0, 1]"
EXCELLENT SERVICE!!!!!!!!.,"[1, 0]"
Thank you for wasting my money.,"[0, 1]"
Superb Phone on a Great Network.,"[1, 0]"
Don't buy this product.,"[0, 1]"
Incredible!.,"[1, 0]"
Design Flaw?.,"[0, 1]"
Great phone!.,"[1, 0]"
Waste of 13 bucks.,"[0, 1]"
Not impressed.,"[0, 1]"
You'll love how thin it is.,"[1, 0]"
Bad Choice.,"[0, 1]"
The pleather case doesn't fit.,"[0, 1]"
"useless phone, simply deaf.","[0, 1]"
Battery lasts only a few hours.,"[0, 1]"
"great headset, very impressed - H500.","[1, 0]"
Good transmit audio.,"[1, 0]"
We are sending it back.,"[0, 1]"
Great price also!,"[1, 0]"
fast service.,"[1, 0]"
I would highly recommend this.,"[1, 0]"
I would recommend this.,"[1, 0]"
WORST PHONE EVER.,"[0, 1]"
I'm still infatuated with this phone.,"[1, 0]"
Freezes frequently4.,"[0, 1]"
"Simple, lightweight and great fit.","[1, 0]"
I'm a bit disappointed.,"[0, 1]"
What a big waste of time.,"[0, 1]"
Great sound and service.,"[1, 0]"
One of my favorite purchases ever.,"[1, 0]"
best bluetooth on the market.,"[1, 0]"
Big Disappointment with calendar sync.,"[0, 1]"
Worst Customer Service Ever.,"[0, 1]"
Worth every penny.,"[1, 0]"
Excellent wallet type phone case.,"[1, 0]"
Internet is excrutiatingly slow.,"[0, 1]"
poor quality and service.,"[0, 1]"
Great Earpiece.,"[1, 0]"
Excellent hands free tool.,"[1, 0]"
Good product - incredible value.,"[1, 0]"
Works great.,"[1, 0]"
Absolutel junk.,"[0, 1]"
THAT one didn't work either.,"[0, 1]"
Battery life is real good.,"[1, 0]"
Returned 8 hours later.,"[0, 1]"
It's a great item.,"[1, 0]"
Don't waste your money!.,"[0, 1]"
Love this headset!,"[1, 0]"
Worked perfectly!,"[1, 0]"
Unreliable - I'm giving up.,"[0, 1]"
Avoid this one if you can.,"[0, 1]"
Reversible plug works great.,"[1, 0]"
Very good phone.,"[1, 0]"
Comfort for our whole family.,"[1, 0]"
"Good product, good seller.","[1, 0]"
I love this bluetooth!,"[1, 0]"
Great phone!.,"[1, 0]"
I wouldn't recommend buying this product.,"[0, 1]"
Piece of Junk.,"[0, 1]"
Poorly contstruct hinge.,"[0, 1]"
Great Phone.,"[1, 0]"
Don't buy it.,"[0, 1]"
Excellent Phone.,"[1, 0]"
DO NOT PURCHASE THIS PHONE.,"[0, 1]"
Customer service was terrible.,"[0, 1]"
Sending it back.,"[0, 1]"
Someone shouldve invented this sooner.,"[1, 0]"
Good price.,"[1, 0]"
Has been working great.,"[1, 0]"
The instruction manual is lacking.,"[0, 1]"
I want my money back.,"[0, 1]"
I love this device.,"[1, 0]"
"good item, low price.","[1, 0]"
AMAZON SUCKS.,"[0, 1]"
Rip off---- Over charge shipping.,"[0, 1]"
VERY comfortable.,"[1, 0]"
The reception is excellent!,"[1, 0]"
Very disappointing.,"[0, 1]"
Excellent sound quality.,"[1, 0]"
Was not happy.,"[0, 1]"
New Battery works great in phone.,"[1, 0]"
Worst customer service.,"[0, 1]"
Good audio quality.,"[1, 0]"
Were JERKS on the phone.,"[0, 1]"
"Comfortable, Nice Range, Good Battery Life.","[1, 0]"
Excellent starter wireless headset.,"[0, 1]"
The phone gets EXTREMELY HOT!,"[0, 1]"
Nice design and quality.,"[1, 0]"
"bad fit, way too big.","[0, 1]"
awesome device.,"[1, 0]"
Waste of money.,"[0, 1]"
Love This Phone.,"[1, 0]"
Battery life is also great!,"[1, 0]"
Protects the phone on all sides.,"[1, 0]"
