Sentence,Score (-5<->5)
It's so good,3
I love horses,3
That's amazing,4
A wonderful show,5
This play was sensational,5
I hate dogs,-4
I dislike this animal,-3
This wasn't as good as I thought,-2
It was alright,0
It let me down a bit,-1
It let me down a ton,-3
"Disgusting I wanted to leave",-3
So bad it was good,1
The humour was dry and unoriginal,-2
This event was catastrophic,-4
I despise this kind of work,-3
I didn't know what to think of it,0
Shockingly bad,-5
The man was arrogant and crude,-4
