,Tweets,Score
238, how childish of you Commando happy,1
523,Joo okay happy,1
1864,Definitely my arms unhappy  .7,0
1537,I miss snsd. I miss my girls unhappy ,0
1509, so? sad,0
124,I just did happy,1
579,I had that down south and had no issues,1
784,pretty happy,1
1817,I WAITED FOR YOU unhappy  ,0
1160,thank you! happy,1
1367,Bae's not here unhappy ,0
2045, it's been so much fun and I absolutely love the kids!! Don't want it to be over so soon unhappy ,0
1329,poor baby unhappy  I hate people ,0
2102,I feel like the 'only environments disable people' argument actually excludes many disabled people ,0
1898,Definitely my arms unhappy  .10,0
1935, [PLEASE RT] he'll buy me a blinking taehyung headband.2,0
1862,for some reason last.fm unlinks from spotify and i miss like a month of scrobbles before i notice unhappy ,0
1211,Don't do that unhappy ,0
1656,truuuu!! si grim reaper and sunny huhu grabe love story nila unhappy ,0
984, plus I want to win that Merc C63 silence  Sooo! happy,1
1324,oh my god unhappy  next time mishutuuu,0
179,He didn't play for a year,1
1585,Koalas are dying of thirst  and it's all because of us unhappy  .3,0
1558, ahhh I'd be well chuffed,0
752,Congrats on your :D,1
1984,mom please stop making cookies,0
2128,Speech-to-text doesnt understand my accent or Irish names unhappy ,0
1243,I miss Louis' tweets unhappy ,0
1841,Definitely my arms unhappy  .4,0
990,There're time we shcj do/did something that dissapointed ot6,1
691,Your generous support is an integral part of my  happy  Thank you for the like!!,1
945,Stats for the day have arrived. 1 new follower and NO unfollowers happy  via.3,1
1706,I'm sorry unhappy ,0
1863,only take season 9 off ,0
781,TypingCure,1
257,As the last event for chapter 1,1
1651,tell me unhappy  why,0
857,19 days of school left happy,1
1340,same unhappy ,0
2057,most painful thing ever is having feelings for someone you can't be with .. unhappy ,0
2165,senior snaps are starting to get so senti aw unhappy ,0
2187,damn that's unfortunate for them unhappy ,0
1175,Mrs King is excited to work with students today! Check out this cool classroom shape! Lots of math in here happy,1
1915,Definitely my arms unhappy  .11,0
983, It really is uplifting and inspiring,1
2207,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.8,0
1377,yes instant message sad crying ,0
893,kind of like my layout happy,1
1606,Omg I see why you don't drink alcohol Haha so glad your having fun all you guys ! Wish I ,0
1667,I wish i could attend it too unhappy ,0
434, cheer up the new administrator team. happy,1
1872,CAN SOMEONE PLS GIFT ME XAYAH USING PI PLSSSS? unhappy ,0
2189,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.16,0
1121, idea of saying No to almo,1
1045,ban ja hero :D,1
522,Thanks for the recent follow Happy to connect happy  have a great Thursday..6,1
2095,As Nani in lies unconscious,0
1634,what happened unhappy ,0
1762,tulips are my favorite unhappy  ,0
2097, I know I'm not ready to say goodbye unhappy  So,0
1731, and the dame computer decides to crash unhappy  now I... ,0
1780,I just watched this kid from produce 101 who performed Chewing Gum omoo poor kid bless his soul unhappy ,0
2269,I can't draw naked women crying ,0
496,Hows the quintly trial happy  ?,1
2131,I've Just Wrote 30 Tweets About But Still Didn't Notice Me crying ,0
1006, thanks for your articles. B,1
431,isn't it terrible that we live in a world where we have to address anticipated criticism of our thoughts first? happy,1
79,Earlier happy,1
2171,Koalas are dying of thirst  and it's all because of us unhappy  .11,0
849, Jamie. Passion + perseverance equals  two of the not-so-secret ingredients in the secret sauce of success happy,1
1469,he was talking with the girl behind jin unhappy ,0
1680,i tak ambik wedding package cause i is poor unhappy  i ambik aromaterapi massage je hajxjsjsj. Hehe see uuuu jwa ,0
650,Here's me being brutally respectable in a suit... enjoy happy  contrast so you appreciate mo,1
1138,Thanks for the recent follow Happy to connect happy  have a great Thursday..29,1
648, some and now none of you crying with joy,1
897,Congratulations very impressive happy,1
2017,Why? You don't like blonde hair? unhappy ,0
1119,Can you do that when player kills you. Then the player rank would show up. happy,1
1636,realized i havent eaten rice maghapon because i finished 3 packs of spicy seafood noodles + to  extra big chilimansi :(acid attack right now,0
540, before I think of them :)KISSES TheFashionIcon,1
953,Not really I am a Labour supporter and am actually quite glad happy  I mean how much did he claim in 2009 fuck off,1
678,Share the love: thanks for being top new followers this week happy.2,1
1251,Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,0
642,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this.2,1
1380,I miss you unhappy ,0
959,Uncheck new arrivals happy,1
2272,why am i not in aus with alisha unhappy  imagine the things we could be doing,0
943,Die evil raven! :D,1
790,Im getting one too smile  smile  smile  smile,1
314,Happy Thursday loves!! happy,1
597,That would be a great trick happy,1
1303,imagine if he wins next time too unhappy  unhappy ,0
2255,guys this is really serious and i hope you don%27t judge me unhappy ,0
